RAJ2000,DEJ2000,Rcmag,Icmag,DeltaRc,Per,Age,IcFile,RcFile
10.9321,41.197,20.48,19.98,0.27,7.459,75,"lc/iv1.dat ","lc/rv1.dat "
10.8469,41.1737,20.17,19.69,0.15,8.566,69,"lc/iv2.dat ","lc/rv2.dat "
10.8669,41.232,20.61,20.28,0.22,8.836,68,"lc/iv3.dat ","lc/rv3.dat "
10.9366,41.2503,20.28,19.54,0.11,9.16,67,"lc/iv4.dat ","lc/rv4.dat "
10.9721,41.2128,20.56,20.04,0.19,9.79,64,"lc/iv5.dat ","lc/rv5.dat "
10.877,41.0601,20.43,19.76,0.15,10.383,62,"lc/iv6.dat ","lc/rv6.dat "
10.8736,41.2367,20.42,20.27,0.28,10.5,61,"lc/iv7.dat ","lc/rv7.dat "
10.75,41.1426,19.89,19.55,0.17,11.17,59,"lc/iv8.dat ","lc/rv8.dat "
10.8594,41.2004,20.21,19.6,0.26,13.773,52,"lc/iv9.dat ","lc/rv9.dat "
10.929,41.1715,20.77,19.84,0.48,14.42,51,"lc/iv10.dat","lc/rv10.dat"
10.9255,41.2489,19.57,18.87,0.16,15.26,49,"lc/iv11.dat","lc/rv11.dat"
10.9576,41.2227,20.84,20.08,0.32,15.46,49,"lc/iv12.dat","lc/rv12.dat"
10.8259,41.1386,19.82,19.46,0.4,15.76,48,"lc/iv13.dat","lc/rv13.dat"
10.9049,41.2419,19.93,19.58,0.22,15.9,48,"lc/iv14.dat","lc/rv14.dat"
10.9115,41.2396,20.79,19.91,0.3,15.95,48,"lc/iv15.dat","lc/rv15.dat"
10.9775,41.2348,20.28,19.74,0.4,16.38,47,"lc/iv16.dat","lc/rv16.dat"
10.9069,41.1868,20.12,19.6,0.39,16.6,47,"lc/iv17.dat","lc/rv17.dat"
10.9853,41.2176,19.47,19.09,0.21,17.73,45,"lc/iv18.dat","lc/rv18.dat"
10.9839,41.2374,19.83,19.6,0.32,17.83,45,"lc/iv19.dat","lc/rv19.dat"
10.9526,41.154,19.2,18.99,0.35,20.09,42,"lc/iv20.dat","lc/rv20.dat"
10.8379,41.1514,19.74,19.31,0.39,21.44,40,"lc/iv21.dat","lc/rv21.dat"
10.8272,41.1071,20.01,19.19,0.29,26.99,35,"lc/iv22.dat","lc/rv22.dat"
10.9059,41.2379,19.78,18.92,0.34,28.78,33,"lc/iv23.dat","lc/rv23.dat"
10.9002,41.1823,20.55,19.57,0.23,35.12,30,"lc/iv24.dat","lc/rv24.dat"
10.9293,41.2475,18.89,18.35,0.31,43.53,26,"lc/iv25.dat","lc/rv25.dat"
10.9183,41.1856,19.36,18.82,0.22,56.02,22,"lc/iv26.dat","lc/rv26.dat"
